input_name,game_id,matched_title,confidence,year,skip
Stardew Valley,170,Stardew Valley,exact,2024,
Into the Radius,214,Into the Radius,exact,2024,
Alan Wake 2,,,NOT IN DB,2024,Y
Dave the Diver,243,Dave the Diver,exact,2024,
Hogwarts Legacy,212,Hogwarts Legacy,exact,2024,
Moss: Book II,248,Moss: Book II,exact,2024,
Reveil,202,Reveil,exact,2024,
Spec Ops: The Line,45,Spec Ops: The Line,exact,2024,
Ghost of Tsushima (2nd completion),336,Ghost of Tsushima,fixed,2024,
Silent Hill 2,335,Silent Hill 2,exact,2025,
Assassin's Creed Mirage,316,Assassin's Creed Mirage,exact,2025,
Cyberpunk 2077,220,Cyberpunk 2077,exact,2025,
Phantom Liberty (DLC),,SKIP - DLC,fixed,2025,Y
Ratchet & Clank: Rift Apart,334,Ratchet & Clank: Rift Apart,fixed,2025,
Asgard's Wrath II,,,NOT IN DB,2025,Y
Cosmodread,,SKIP - did not finish,fixed,2025,Y
Marvel's Spider-Man 2,324,Marvel's Spider-Man 2,exact,2025,
Deliver at All Costs,608,Deliver At All Costs,fixed,2025,
Clair Obscur: Expedition 33,367,Clair Obscur: Expedition 33,exact,2025,
The Alters,366,The Alters,exact,2025,
Balatro,250,Balatro,exact,2025,
Hollow Knight: Silksong,364,Hollow Knight: Silksong,exact,2025,
DOOM: The Dark Ages,363,Doom: The Dark Ages,exact,2025,
Indiana Jones and the Great Circle,362,Indiana Jones and the Great Circle,exact,2025,
Still Wakes the Deep,361,Still Wakes the Deep,exact,2025,
The Casting of Frank Stone,360,The Casting of Frank Stone,exact,2025,
Wuchang: Fallen Feathers,359,Wuchang: Fallen Feathers,exact,2025,
South of Midnight,358,South of Midnight,exact,2025,
Atomfall,357,Atomfall,exact,2025,
Banishers: Ghosts of New Eden,356,Banishers: Ghosts of New Eden,exact,2025,
Homeless,252,Homeless,fixed,2025,
Stardew Valley (Expanded playthrough),170,Stardew Valley,fixed,2025,
Stardew Valley (Joja playthrough),170,Stardew Valley,fixed,2025,
Resident Evil 4 (VR),766,Resident Evil 4 VR,substring,2026,
Astro Bot,331,Astro Bot,exact,2026,
Nobody Wants to Die,246,Nobody Wants to Die,exact,2026,
Human Within (VR),,,NOT IN DB,2026,Y
Sifu,660,Sifu,exact,2026,
The Entropy Centre,239,The Entropy Centre,exact,2026,
Dragon Age: The Veilguard,330,Dragon Age: The Veilguard,exact,2026,
God of War (replay),236,God of War,fixed,2026,
God of War Ragnarök (replay),315,God of War Ragnarök,fixed,2026,
Kingdom Hearts Final Mix (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
Kingdom Hearts: Chain of Memories (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
Kingdom Hearts 358/2 Days (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
Kingdom Hearts II Final Mix (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
Kingdom Hearts: Birth by Sleep (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
Kingdom Hearts Re:coded (via KH HD 1.5+2.5),251,Kingdom Hearts HD 1.5 + 2.5 Remix,fixed,2026,
